id,symbol,name,priceUsd,marketCapUsd,volumeUsd24Hr,last_updated
solana,SOL,Solana,83.89,48338112219.791504,2354181395.5568366,2026-05-02 02:12:15
tron,TRX,TRON,0.3266999999999999,30967150133.19941,387432004.72556126,2026-05-02 02:12:15
steth,STETH,Lido Staked ETH,2294.61,20852997098.898647,3362881.8573049214,2026-05-02 02:12:15
dogecoin,DOGE,Dogecoin,0.10845,16708327167.812832,1599180089.6550224,2026-05-02 02:12:15
bitcoin,BTC,Bitcoin,78117.89999999998,1564195411125.9,15754534006.914068,2026-05-03 02:27:50
ethereum,ETH,Ethereum,2300.0,277581082556.0906,5132600026.004181,2026-05-03 02:27:50
tether,USDT,Tether USDt,0.9999696141867368,189582463455.2982,186789419.77680865,2026-05-03 02:27:50
xrp,XRP,XRP,1.3823,85420922143.72281,995321825.3089539,2026-05-03 02:27:50
binance-coin,BNB,BNB,615.24,82925762449.78798,616583991.6062733,2026-05-03 02:27:50
usd-coin,USDC,USDC,1.0,77228856191.09665,1423375755.8235977,2026-05-03 02:27:50
solana,SOL,Solana,83.623,48184210865.540695,1522553236.1779284,2026-05-03 02:27:50
tron,TRX,TRON,0.3296999999999999,31252085381.87539,473222723.35409707,2026-05-03 02:27:50
steth,STETH,Lido Staked ETH,2297.220024,20837251470.11596,1901077.2918130255,2026-05-03 02:27:50
dogecoin,DOGE,Dogecoin,0.1072599999999999,16526441287.91622,861661057.0724915,2026-05-03 02:27:50
bitcoin,BTC,Bitcoin,79663.17999999998,1595137357656.7795,21780485317.39099,2026-05-04 02:26:50
ethereum,ETH,Ethereum,2361.89,285050328848.98987,8743014565.542757,2026-05-04 02:26:50
tether,USDT,Tether USDt,0.99996,189580640717.81042,244909536.54944623,2026-05-04 02:26:50
xrp,XRP,XRP,1.4036289344,86738969777.94905,1140281467.8530443,2026-05-04 02:26:50
binance-coin,BNB,BNB,623.1,83985142667.48398,790197041.8636571,2026-05-04 02:26:50
usd-coin,USDC,USDC,1.0,77259776560.50296,1708670576.8265336,2026-05-04 02:26:50
solana,SOL,Solana,84.83,48889798120.10401,2039284014.8916357,2026-05-04 02:26:50
tron,TRX,TRON,0.3378999999999999,32030005422.61486,681514545.4811512,2026-05-04 02:26:50
steth,STETH,Lido Staked ETH,2358.54,21392906693.365986,2893926.6574729886,2026-05-04 02:26:50
dogecoin,DOGE,Dogecoin,0.1118299999999999,17232093417.689754,1158996587.3603632,2026-05-04 02:26:50
bitcoin,BTC,Bitcoin,80411.25999999998,1610116553246.46,41993108593.787895,2026-05-05 02:15:02
ethereum,ETH,Ethereum,2368.52868535,285851534426.7867,17180589181.155544,2026-05-05 02:15:02
tether,USDT,Tether USDt,0.99991999,189559400402.85605,607293652.9887986,2026-05-05 02:15:02
xrp,XRP,XRP,1.3982,86403482124.9752,1964524271.8315833,2026-05-05 02:15:02
binance-coin,BNB,BNB,624.81,84215590600.22278,1479989763.761314,2026-05-05 02:15:02
usd-coin,USDC,USDC,1.0,77874513883.22157,4507187883.682526,2026-05-05 02:15:02
solana,SOL,Solana,84.54999999999998,48728372870.63296,3509817551.911821,2026-05-05 02:15:02
tron,TRX,TRON,0.34072,32297441702.918823,595532002.8045433,2026-05-05 02:15:02
steth,STETH,Lido Staked ETH,2364.63,21427893949.596382,48190323.02011505,2026-05-05 02:15:02
dogecoin,DOGE,Dogecoin,0.11124,17142610875.323368,1762166478.3106987,2026-05-05 02:15:02
